<<<<<<< HEAD
123:1:23-15-08-20-10-22,-
3rfwegdrfher5tg:aaa:23-38-54-20-10-22,-
dqw:aaa:23-39-06-20-10-22,-
:aaa:23-39-21-20-10-22,-
dqwd:aaa:02-05-38-21-10-22,-
หิวข้าว:tmnpkm:11-37-39-21-10-22,tmnpkm-
=======
อาจารย์สอนเข้าใจยาก:maomao:03-59-26-21-10-22,-
อาจารย์เข้าห้องไม่ตรงเวลา:maomao:04-22-24-21-10-22,-
มีกลุ่มนิสิตโกงข้อสอบ:maomao:04-23-21-21-10-22,-
อาจารย์ไม่รับฟังความเห็นนิสิต:maomao:04-32-43-21-10-22,-
อาจารย์ตัดสินไม่ยุติธรรม:maomao:04-34-43-21-10-22,maomao-
อาจารย์เอาเปรียบนิสิต:maomao:04-35-16-21-10-22,maomao-
มีนิสิตโกงข้อสอบวิชา0141224:maomao:04-36-13-21-10-22,-
อาจารย์เข้าข้างนิสิต:maomao:04-37-07-21-10-22,-
มีนิสิตโกงข้อสอบวิชา0132124:maomao:04-38-45-21-10-22,-
มีกลุ่มนิสิตโกงข้อสอบ:maomao:04-40-54-21-10-22,maomao-
ราคาวินมอเตอร์ไซค์ไม่เหมือนกัน:maomao:04-41-24-21-10-22,-
ร้านอาหารไม่ค่อยสะอาด:maomao:04-41-57-21-10-22,-
ร้านอาหารมีน้อยเกินไป:maomao:04-42-11-21-10-22,-
ร้านอาหารมีราคาแพงเกินไป:maomao:04-42-27-21-10-22,-
กิจกรรมในมหาวิทยาลัยน้อยไป:maomao:04-43-01-21-10-22,maomao-
มีปัญหาการลงทะเบียนเรียนวิชา0141123:benben:04-47-32-21-08-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0132021:benben:04-48-23-21-08-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0199120:benben:04-49-17-21-08-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0191235:benben:04-49-42-21-08-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0185127:benben:04-50-04-21-08-22,-
ห้องตึกsc45มีกลิ่นเหม็น:benben:04-51-24-21-10-22,-
ลืมหูฟังในห้องสมุด:benben:04-51-52-21-10-22,-
ลืมapplepencilในห้องเรียน:benben:04-52-17-21-10-22,-
สนามบาสเกตบอล:benben:04-52-39-21-10-22,-
แอร์ห้องเรียน203มีปัญหา:benben:04-53-01-21-10-22,-
มีกลุ่มนิสิตมีการโกงข้อสอบ:beneben:04-23-21-21-10-22,-
มีกลุ่มนิสิตโกงข้อสอบ:beneben:04-40-54-21-10-22,-
อาจารย์เข้าข้างนิสิต:beneben:04-37-07-21-10-22,-
มีนิสิตโกงข้อสอบวิชา0132124:benben:04-38-45-21-10-22,-
ีนิสิตโกงข้อสอบวิชา0141224:benben:04-36-13-21-10-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0141123:ninjaninja:04-47-32-21-08-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0132021:ninjaninja:04-59-48-21-08-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0199120:ninjaninja:05-00-03-21-08-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0185127:ninjaninja:05-00-26-21-08-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0117234:ninjaninja:05-00-42-21-08-22,-
ห้องน้ำไม่ค่อยสุอาด:ninjaninja:05-02-20-21-10-22,-
ฟุตบาทเป็นหลุม:ninjaninja:05-02-39-21-10-22,-
ทำเงินหาย:ninjaninja:05-03-02-21-10-22,-
สระน้ำกระเบื้องแตก:ninjaninja:05-03-23-21-10-22,-
ห้องเรียน205เก้าอี้ไม่พอ:ninjaninja:05-03-52-21-10-22,-
ของบประมาณเพิ่ม:ninjaninja:05-04-47-21-10-22,-
ราคาวินมอเตอร์ไซค์แพงไป:ninjaninja:05-05-07-21-10-22,-
ร้านอาหารให้น้อยไป:ninjaninja:05-05-56-21-10-22,maomao-
อาหารรสแปลกๆ:ninjaninja:05-07-39-21-10-22,-
ปัญหาชมรม:ninjaninja:05-09-07-21-10-22,-
มีปัญหาการลงทะเบียนเรียนวิชา0141123:tangmo:05-10-03-21-08-22,-
>>>>>>> 2a66da0e4c2e4b52aa2a12271cdbc88b9e222f30
